density,metric,n_pairs,baseline_mean,ml_mean,ml_minus_baseline,difference_ci95,cohen_dz,paired_t_statistic
50,latency_ms,30,235.7604461808125,213.43450060998796,-22.325945570824526,2.298579514963169,-3.4757279292495866,-19.037345906007186
50,pdr,30,0.24703595500705794,0.3638724982337315,0.1168365432266736,0.00808933229366626,5.1684636658212675,28.308841374161513
50,throughput_packets,30,0.09792786586164258,1.9778368345723565,1.879908968710714,0.13525889498853802,4.9735493173554755,27.24125151980014
50,consensus_size,30,25.0,27.173333333333336,2.1733333333333333,0.05012081482959584,15.516853583723972,84.98930729310496
50,control_bytes,30,248175.0,269614.5625,21439.5625,496.38998742181457,15.455688277111122,84.65429111141918
50,committed,30,0.0059722222222222225,0.11666666666666667,0.11069444444444444,0.007992879507300264,4.95584828756659,27.144298986735702
50,false_removals,30,20.666666666666668,15.31388888888889,-5.352777777777778,0.5592171864698477,-3.425264770151049,-18.760947800394778
50,false_removal_rate,30,0.4920634920634921,0.3646164021164021,-0.12744708994708995,0.013314694915948761,-3.4252647701510472,-18.760947800394767
50,malicious_selected,30,3.6666666666666665,0.47361111111111115,-3.1930555555555555,0.5609657135886755,-2.0368807368249686,-11.15645526506779
50,malicious_removal_time,30,300.0,12.431844081844082,-287.5681559181559,0.48420982306245025,-212.52138659497064,-1164.0275739034146
100,latency_ms,30,305.4476133745253,308.5816155161876,3.134002141662315,1.3102695106099764,0.8559218192750048,4.688076878777802
100,pdr,30,0.12661059688508366,0.18668924227256095,0.06007864538747728,0.003137697025864824,6.851798299024767,37.52884487851392
100,throughput_packets,30,0.0,0.6440847470810389,0.6440847470810389,0.11180517930696697,2.0614677075836534,11.291123650120305
100,consensus_size,30,50.0,57.60652777777778,7.606527777777777,0.0666330368641967,40.85002178460226,223.74478406004098
100,control_bytes,30,496350.0,571602.175,75252.175,665.2771693669463,40.47733218951562,221.7034790782768
100,committed,30,0.0,0.020694444444444446,0.020694444444444446,0.0035990321117401465,2.057612048950512,11.270005338046193
100,false_removals,30,41.833333333333336,30.85972222222222,-10.97361111111111,0.6897766147891062,-5.692939162909425,-31.18151198030069
100,false_removal_rate,30,0.49801587301587297,0.3673776455026455,-0.1306382275132275,0.008211626366536981,-5.692939162909424,-31.18151198030069
100,malicious_selected,30,7.833333333333333,4.440277777777778,-3.3930555555555557,0.6820897228807951,-1.7801020835606176,-9.750020658280963
100,malicious_removal_time,30,300.0,17.94785238572177,-282.0521476142782,0.5303081079555745,-190.32532836046786,-1042.4547560760598
150,latency_ms,30,372.63630992781066,394.7725233074993,22.13621337968865,1.091411527055235,7.257887633363646,39.753087766310536
150,pdr,30,0.07339048060090834,0.10387491739665172,0.03048443679574337,0.0013804238113465758,7.902439467093764,43.28344355446359
150,throughput_packets,30,0.0,0.03587823073571981,0.03587823073571981,0.0313550542514445,0.4094669994178078,2.2427431213508804
150,consensus_size,30,75.0,89.94416666666666,14.944166666666666,0.08560670658310136,62.46825249167694,342.1527101761976
150,control_bytes,30,744525.0,892602.75,148077.75,858.6736462041426,61.71022313477939,338.0008123959584
150,committed,30,0.0,0.0008333333333333334,0.0008333333333333334,0.0007220040932018705,0.4130232866245167,2.262221708591696
150,false_removals,30,62.63333333333333,45.92777777777778,-16.705555555555556,0.9295359082267041,-6.431173048689364,-35.224985499864346
150,false_removal_rate,30,0.4970899470899471,0.36450617283950615,-0.13258377425044093,0.007377269112910351,-6.431173048689364,-35.224985499864346
150,malicious_selected,30,11.633333333333333,9.844444444444443,-1.7888888888888888,0.9124054104592618,-0.7016022266426298,-3.8428336592802044
150,malicious_removal_time,30,300.0,21.306324868414222,-278.6936751315858,0.4518581000274678,-220.70922448798382,-1208.8742090154033
200,latency_ms,30,440.54482862927637,479.6340090376436,39.089180408367234,1.0363810536084932,13.496853802769255,73.92531283126104
200,pdr,30,0.04514756253295565,0.06157439186167223,0.01642682932871659,0.0009427152905209759,6.2354620112435875,34.15303200024645
200,throughput_packets,30,0.0,0.0,0.0,0.0,0.0,0.0
200,consensus_size,30,100.0,123.53972222222222,23.539722222222224,0.0830800667582181,101.39112476576942,555.3420616503261
200,control_bytes,30,992700.0,1226122.375,233422.375,831.2557288107491,100.48547185265117,550.3815963524748
200,committed,30,0.0,0.0,0.0,0.0,0.0,0.0
200,false_removals,30,83.5,59.8375,-23.6625,1.027805447540969,-8.23844327543671,-45.12381220683433
200,false_removal_rate,30,0.5,0.3583083832335329,-0.14169161676646705,0.00615452363796987,-8.238443275436715,-45.12381220683435
200,malicious_selected,30,16.5,16.351388888888888,-0.1486111111111112,1.0632229211684225,-0.050017547657061755,-0.2739573912286239
200,malicious_removal_time,30,300.0,23.144598724006052,-276.855401275994,0.48169760441706133,-205.67142555051328,-1126.508792082605
