density,metric,n_pairs,baseline_mean,ml_mean,ml_minus_baseline,difference_ci95,cohen_dz,paired_t_statistic
30,latency_ms,30,194.35489351442192,145.7442087046318,-48.61068480979016,6.286156554996388,-2.7672091847850235,-15.156628918422388
30,pdr,30,0.32911617987933783,0.47550132344491136,0.1463851435655735,0.018481260183595027,2.8343982148993003,15.524638392527223
30,throughput_packets,30,1.0990457263867732,4.128749797258988,3.029704070872214,0.35763234837657115,3.031508986478175,16.604258551737203
30,consensus_size,30,15.0,15.795277777777779,0.7952777777777776,0.06848047271021042,4.155732088381574,22.761882077546407
30,control_bytes,30,148905.0,156722.5125,7817.5125,678.1173810921052,4.125334342828261,22.59538676817789
30,committed,30,0.11916666666666667,0.4220833333333333,0.30291666666666667,0.03569047809559588,3.0371500416169988,16.63515588321384
30,false_removals,30,13.166666666666666,10.352777777777778,-2.8138888888888887,0.4399755140444816,-2.288621013622648,-12.535293547414621
30,false_removal_rate,30,0.5064102564102564,0.3981837606837607,-0.10822649572649572,0.016922135155556982,-2.288621013622648,-12.535293547414625
30,malicious_selected,30,2.1666666666666665,0.14027777777777778,-2.026388888888889,0.41358412614060447,-1.7532925111315765,-9.60317858251642
30,malicious_removal_time,30,300.0,20.41611111111111,-279.5838888888889,18.91182783559676,-5.290224224080584,-28.975751417892006
60,latency_ms,30,249.27261212159752,227.84136300539916,-21.431249116198366,2.3846473704177007,-3.2160201539317206,-17.6148678369964
60,pdr,30,0.22165315711037964,0.323009524773717,0.10135636766333742,0.009629791828481754,3.766427250397768,20.629571662450164
60,throughput_packets,30,0.1406283622067916,2.4986657299955892,2.3580373677887976,0.19287215979376404,4.374985150702547,23.962780557899237
60,consensus_size,30,30.0,32.97819444444444,2.9781944444444446,0.05829758438426446,18.28091517211135,100.12869611603823
60,control_bytes,30,297810.0,327204.95,29394.95,577.7618285282826,18.206200627795393,99.71946770308254
60,committed,30,0.007638888888888889,0.13041666666666668,0.12277777777777778,0.009802607145753643,4.482018188314923,24.549024648885204
60,false_removals,30,25.433333333333334,18.95,-6.483333333333333,0.586148372369721,-3.9580951629847787,-21.679380055188503
60,false_removal_rate,30,0.49869281045751634,0.37156862745098035,-0.12712418300653594,0.011493105340582765,-3.958095162984778,-21.679380055188496
60,malicious_selected,30,4.433333333333334,0.9111111111111111,-3.5222222222222226,0.5789121935138898,-2.1772058855284557,-11.925047758369457
60,malicious_removal_time,30,300.0,14.410071788426546,-285.58992821157346,0.6194223409310373,-164.98766117023388,-903.674637329563
90,latency_ms,30,290.1358928073197,288.92608994031394,-1.2098028670058152,1.7584687334240616,-0.2461928311613738,-1.348453671231452
90,pdr,30,0.1492966799276578,0.2143416001383044,0.06504492021064658,0.006112339052420249,3.8080390447429244,20.85748884666124
90,throughput_packets,30,0.0073728855322049034,1.1887169529226311,1.1813440673904263,0.21845270628315852,1.9351490422371356,10.599247825677967
90,consensus_size,30,45.0,51.29125,6.291250000000001,0.06381296472343496,35.279584785964616,193.2342440668889
90,control_bytes,30,446715.0,508924.2,62209.2,639.4139679622325,34.81512359229088,190.69028533828006
90,committed,30,0.0002777777777777778,0.042499999999999996,0.042222222222222223,0.007600063576620101,1.9880133931198682,10.888797800341376
90,false_removals,30,37.2,28.102777777777778,-9.097222222222223,0.5787214754870152,-5.625157008045609,-30.810253828148493
90,false_removal_rate,30,0.48947368421052634,0.36977339181286545,-0.11970029239766083,0.007614756256408101,-5.625157008045606,-30.810253828148475
90,malicious_selected,30,6.2,3.3694444444444445,-2.8305555555555557,0.592228921414454,-1.7103205540402673,-9.367811480125878
90,malicious_removal_time,30,300.0,18.03363844446218,-281.96636155553784,0.6096211565378137,-165.5132298967985,-906.55329580015
120,latency_ms,30,331.8649680527917,343.385019934257,11.520051881465282,1.186629086918847,3.474040597685709,19.028104010411923
120,pdr,30,0.10251031439104491,0.14701046994682193,0.04450015555577702,0.0032981307321842267,4.828242858313704,26.445375266116354
120,throughput_packets,30,0.0,0.3705700469496996,0.3705700469496996,0.09333835252799529,1.4207106152742313,7.781552516727401
120,consensus_size,30,60.0,70.35027777777778,10.350277777777778,0.052438478782718304,70.63132686777594,386.86370992001594
120,control_bytes,30,595620.0,698088.7,102468.7,525.7322842210433,69.74643649179633,382.01696572158335
120,committed,30,0.0,0.010277777777777778,0.010277777777777778,0.0025894438094368325,1.4203264539437255,7.779448378463009
120,false_removals,30,50.03333333333333,37.25833333333333,-12.775,0.7966678513593526,-5.738244654059598,-31.429660375118704
120,false_removal_rate,30,0.49537953795379536,0.3688943894389439,-0.1264851485148515,0.007887800508508444,-5.738244654059597,-31.429660375118697
120,malicious_selected,30,9.033333333333333,6.580555555555555,-2.4527777777777775,0.7871143310854436,-1.115105164177764,-6.107682524106631
120,malicious_removal_time,30,300.0,20.096399784061813,-279.9036002159382,0.5226373318196849,-191.6476509970004,-1049.6974154393456
